Company_id,Company_Name,Industry,Employee_count,Job_ID,LinkedIn_Followers,Location_City,Location_State,Designation,Details_ID,Involvement,Level,Total_Applicants
C002,Microsoft,Software Development,10000,J398,0,NULL,Gujarat,Data Science Internship Opportunity for University Graduates,D098,Internship,Internship,NULL
C181,ESSENWARE PRIVATE LIMITED,Software Development,51,J405,0,Gurugram,Haryana,Test Lead,D008,Full-time,Associate,NULL
C181,ESSENWARE PRIVATE LIMITED,Software Development,51,J419,0,Gurugram,Haryana,Test Lead,D020,Full-time,Associate,41
C002,Microsoft,Software Development,10000,J423,0,NULL,Himachal Pradesh,Data Science Internship Opportunity for University Graduates,D107,Internship,Internship,3
C002,Microsoft,Software Development,10000,J427,0,NULL,Himachal Pradesh,Data Science Internship Opportunity for University Graduates,D098,Internship,Internship,NULL
C136,Salesforce,Software Development,10000,J434,3915833,Hyderabad,Telangana,Senior Technical Consultant (Salesforce Developer),D004,Full-time,NULL,NULL
C187,CAW Studios,Software Development,51,J435,0,Hyderabad,Telangana,Manual Tester,D008,Full-time,Associate,NULL
C181,ESSENWARE PRIVATE LIMITED,Software Development,51,J436,0,Hyderabad,Telangana,Test Lead,D008,Full-time,Associate,NULL
C187,CAW Studios,Software Development,51,J448,0,Hyderabad,Telangana,Manual Tester,D011,Full-time,Associate,11
C181,ESSENWARE PRIVATE LIMITED,Software Development,51,J456,0,Hyderabad,Telangana,Test Lead,D023,Full-time,Associate,52
C010,Hypersonix Inc.,Software Development,51,J457,11365,NULL,India,Data Scientist,D084,Full-time,Mid-Senior level,NULL
C002,Microsoft,Software Development,10000,J477,0,NULL,Karnataka,Data Science Internship Opportunity for University Graduates,D108,Internship,Internship,39
C002,Microsoft,Software Development,10000,J501,0,NULL,Karnataka,Data Science Internship Opportunity for University Graduates,D098,Internship,Internship,NULL
C002,Microsoft,Software Development,10000,J029,0,NULL,Karnataka,Product Manager Internship Opportunity for University Graduates,D098,Internship,Internship,NULL
C002,Microsoft,Software Development,10000,J030,0,NULL,Karnataka,Product Manager Internship Opportunity for University Graduates,D112,Internship,Internship,7
C002,Microsoft,Software Development,10000,J031,0,NULL,Maharashtra,Product Manager Internship Opportunity for University Graduates,D113,Internship,Internship,9
C195,Azentio Software,Software Development,1001,J055,0,Mumbai,Maharashtra,Business Analyst,D008,Full-time,Associate,NULL
C293,Duality Robotics,Software Development,11,J001,2289,Mumbai,Maharashtra,Office Coordinator,D030,Full-time,Entry level,NULL
C002,Microsoft,Software Development,10000,J002,0,Noida,Uttar Pradesh,Product Manager,D084,Full-time,Mid-Senior level,NULL
C244,Mindtickle,Software Development,201,J004,0,Pune,Maharashtra,Finance Executive,D084,Full-time,Mid-Senior level,NULL
C181,ESSENWARE PRIVATE LIMITED,Software Development,51,J005,0,Pune/Pimpri-Chinchwad Area,Maharashtra,Project Manager,D030,Full-time,Entry level,NULL
C181,ESSENWARE PRIVATE LIMITED,Software Development,51,J006,0,Pune/Pimpri-Chinchwad Area,Maharashtra,Project Manager,D045,Full-time,Entry level,78
C002,Microsoft,Software Development,10000,J007,0,NULL,Tripura,Data Science Internship Opportunity for University Graduates,D098,Internship,Internship,NULL
